,Beads/IFNg | Geometric Mean (PE ( 561 )-A),Beads/IL-2 | Geometric Mean (PE ( 561 )-A),Beads/IL-4 | Geometric Mean (PE ( 561 )-A),Beads/IL-6 | Geometric Mean (PE ( 561 )-A),Beads/IL-10 | Geometric Mean (PE ( 561 )-A),Beads/IL-17A | Geometric Mean (PE ( 561 )-A),Beads/TNFa | Geometric Mean (PE ( 561 )-A),
Specimen_001_D11_D11_047.fcs,302,451,400,360,262,308,294,
Specimen_001_D12_D12_048.fcs,277,456,429,323,264,259,281,
Specimen_001_E1_E01_049.fcs,1630,936,392,396,267,276,436,
Specimen_001_E2_E02_050.fcs,968,831,383,393,257,312,420,
Specimen_001_E3_E03_051.fcs,473,511,397,358,257,296,372,
Specimen_001_E4_E04_052.fcs,289,451,373,353,249,274,318,
Specimen_001_E5_E05_053.fcs,371,546,358,373,281,287,321,
Specimen_001_E6_E06_054.fcs,377,457,364,337,250,290,315,
Specimen_001_E7_E07_055.fcs,331,516,403,347,267,271,320,
Specimen_001_E8_E08_056.fcs,277,489,406,382,275,273,328,
Specimen_001_E9_E09_057.fcs,275,488,403,340,291,281,291,
Specimen_001_E10_E10_058.fcs,301,439,359,343,275,251,301,
Specimen_001_E11_E11_059.fcs,287,502,416,338,269,264,319,
Specimen_001_E12_E12_060.fcs,298,467,382,341,240,273,251,
Specimen_001_F1_F01_061.fcs,1011,567,408,340,279,283,424,
Specimen_001_F2_F02_062.fcs,934,674,409,370,301,301,379,
Specimen_001_F3_F03_063.fcs,513,525,398,330,281,267,353,
Specimen_001_F4_F04_064.fcs,296,491,379,324,256,266,311,
Specimen_001_F5_F05_065.fcs,332,484,424,316,289,264,296,
Specimen_001_F6_F06_066.fcs,304,472,385,298,303,287,301,
Specimen_001_F7_F07_067.fcs,269,502,357,344,276,281,302,
Specimen_001_F8_F08_068.fcs,315,459,389,344,254,270,290,
Specimen_001_F9_F09_069.fcs,277,481,389,311,287,286,277,
Specimen_001_F10_F10_070.fcs,291,459,412,353,263,300,278,
Specimen_001_F11_F11_071.fcs,299,446,361,366,297,302,262,
Specimen_001_F12_F12_072.fcs,283,458,350,315,297,305,289,
Specimen_001_G1_G01_073.fcs,519,525,398,316,278,304,378,
Specimen_001_G2_G02_074.fcs,344,486,383,331,261,268,375,
Specimen_001_G3_G03_075.fcs,297,466,379,330,340,250,302,
Specimen_001_G4_G04_076.fcs,291,479,371,350,287,271,329,
Specimen_001_G5_G05_077.fcs,310,469,389,329,252,236,287,
Specimen_001_G6_G06_078.fcs,316,487,386,338,277,301,319,
Specimen_001_G7_G07_079.fcs,293,453,386,315,273,303,318,
Specimen_001_G8_G08_080.fcs,313,491,394,322,272,292,329,
Specimen_001_G9_G09_081.fcs,334,464,388,310,249,274,285,
Specimen_001_G10_G10_082.fcs,274,442,421,351,331,286,291,
Specimen_001_G11_G11_083.fcs,282,510,324,286,293,263,311,
Specimen_001_G12_G12_084.fcs,332,442,389,323,271,276,283,
Specimen_001_H1_H01_085.fcs,306,462,428,324,272,294,322,
Specimen_001_H2_H02_086.fcs,306,455,375,335,282,292,311,
Specimen_001_H3_H03_087.fcs,264,489,384,329,265,252,312,
Specimen_001_H4_H04_088.fcs,323,468,374,286,319,282,303,
Specimen_001_H5_H05_089.fcs,292,481,379,304,274,301,297,
Specimen_001_H6_H06_090.fcs,283,446,383,308,272,290,285,
Specimen_001_H7_H07_091.fcs,340,436,370,315,273,329,294,
Specimen_001_H8_H08_092.fcs,292,423,351,342,274,285,280,
Specimen_001_H9_H09_093.fcs,306,492,347,318,307,278,270,
Specimen_001_H10_H10_094.fcs,299,447,364,303,283,289,296,
Specimen_001_H11_H11_095.fcs,346,487,349,310,277,349,297,
Specimen_001_H12_H12_096.fcs,291,497,401,410,245,293,282,
Mean,608,557,388,340,279,288,346,
SD,789,191,20.6,33.8,17.7,23.5,114,
